Repr_id,REPR_FACI,REPR_DIST,TYP_CASE,REPR_NM,REPR_PHON_NUM,REPR_D,TYP_REPR_DISE_COND,LN_CASE,FN_CASE,DOB,NATL,CASE_UID1,CASE_UID2,DIST_CASE_RESI,DIST_CASE_RESI_TYP,SEX,OCCU,PHYS_ADDR,NEAR_LMK,PHON_NUM_CASE,PARE_CARET_NM,D_SEEN_FACI,VACC,VACC_TYP_VAC,VACC_NUM_DOSE,D_FACI_NOTI_DIST,D_L_VACCI,RECE_TRAV_HIST,D_O_RETU,ANY_CONT_OT_CASE,ANY_CLUSTER,D_ONSE,PREG_CASE_FEM,TRIM,PRES_SYMP,U_CONDS,COVI_HIST,P_COMPL_FRM_NM,D_S_COLL,D_S_SENT_LAB,S_TYP,S_COND,D_LAB_RECE_S,TYP_O_TESTS_PERF,TEST_PLAT,FIN_LAB_RESU,D_LAB_SENT_RESU_DIST,D_RESU_SENT_HCW,D_DIST_RECE_RESU,CASE_F_O,CASE_F_CLASS
MOH9474667943,1618,MW-PH,IPD,John,+265(0)992924055,2020-07-15,SARIs,Burgess,April,1949-11-20,ZM,NID,ZM706586,MW-DO,Rural,Female,clerk,P.O.Box 69984 MW-KS,Church,,Daniel,2020-07-15,Covid-19,Johnson & Johnson,1,2020-07-15,2020-07-05,International,2020-06-28,Confirmed,Hospital,2020-07-06,No,N/A,Fatigue,COPD,No,Emily Blake,2020-07-15,2020-07-16,NP swab,Not Adequate,2020-07-17,PCR,Mobile testing,Positive,2020-07-20,2020-07-20,2020-07-23,TO,Probable
MOH4578878631,532,MW-MZ,POE,Mark,+265(0)884499211,2020-08-27,SARIs,Brewer,Jonathan,1950-03-19,ZA,NID,ZA923468,MW-DE,Rural,Male,doctor,P.O.Box 86384 MW-NU,Market,+265(0)992955779,Adam,2020-08-22,None,N/A,0,2020-08-27,2020-08-12,Indigenous,2020-08-02,Confirmed,Family,2020-08-19,N/A,N/A,Shortness of Breath,COPD,Yes,Megan Hernandez,2020-08-27,2020-08-28,NP swab,Not Adequate,2020-08-28,Antigen POC tests,Molecular Labs,Positive,2020-08-29,2020-08-29,2020-09-01,Lost,Lost
MOH3997692982,1836,MW-NB,IPD,David,,2020-07-21,AEFI,Norton,Ralph,1996-05-11,MZ,NID,MZ744563,MW-MU,Rural,Male,nurse,P.O.Box 08547 MW-NI,Hospital,+265(0)882680349,Sheila,2020-07-19,Covid-19,AstraZeneca,2,2020-07-21,2020-07-11,International,2020-07-04,No,Family,2020-07-05,N/A,N/A,Diarrhea,Neurological Dz,Yes,Kevin Fowler,2020-07-21,2020-07-22,NP swab,Adequate,2020-07-25,PCR,Molecular Labs,Negative,2020-07-25,2020-07-25,2020-07-25,Dead,Lost
MOH5520503841,1503,MW-NB,OPD,Christopher,+265(0)994241629,2020-10-10,SARS/MERS/COVID,Henry,Catherine,1949-02-21,GB,NID,GB279812,MW-MW,Rural,Female,farmer,P.O.Box 86957 MW-DO,Hospital,,Veronica,2020-10-10,None,N/A,0,2020-10-10,2020-09-24,Indigenous,2020-10-01,No,No,2020-09-28,No,N/A,Fatigue,Cardiovascular Dz,No,Alan Hanna,2020-10-10,2020-10-11,OP swab,Adequate,2020-10-11,Antigen POC tests,Molecular Labs,Positive,2020-10-14,2020-10-14,2020-10-14,Alive,Probable
MOH5892119139,601,MW-KR,OPD,Jesse,+265(0)881881950,2020-11-07,SARS/MERS/COVID,Cruz,Brian,2001-10-30,TZ,Passport,TZ321454,MW-LI,Urban,Male,nurse,P.O.Box 58465 MW-NS,School,,Peter,2020-10-29,None,N/A,0,2020-11-07,2020-10-24,Indigenous,2020-10-18,No,Family,2020-10-17,N/A,N/A,Muscle ache,DM,Yes,Glenda Edwards,2020-11-07,2020-11-08,Blood,Not Adequate,2020-11-11,PCR,Molecular Labs,Negative,2020-11-11,2020-11-11,2020-11-13,Lost,Lost
MOH5905194956,107,MW-NI,POE,Joseph,+265(0)993111327,2020-07-20,AEFI,Miller,Whitney,1943-07-06,GR,NID,GR567013,MW-NI,Rural,Female,technician,P.O.Box 92459 MW-ZO,Church,+265(0)886399445,Veronica,2020-07-14,None,N/A,0,2020-07-20,2020-06-26,Indigenous,2020-07-12,Confirmed,School,2020-06-26,Yes,Second,Fever,DM,Yes,Ashlee Wong,2020-07-20,2020-07-20,NP swab,Adequate,2020-07-21,PCR,Molecular Labs,Positive,2020-07-21,2020-07-21,2020-07-24,Dead,Lost
MOH2404862239,4078,MW-BL,IPD,Craig,,2020-12-28,Unexplained cluster,Gaines,Matthew,1973-08-16,PK,Passport,PK641903,MW-MZ,Urban,Male,lecturer,P.O.Box 07525 MW-SA,Market,+265(0)887575312,Amy,2020-12-28,Covid-19,Johnson & Johnson,1,2020-12-28,2020-12-24,International,2020-12-21,Suspected,No,2020-12-27,N/A,N/A,Cough,TB,No,Sarah Bailey,2020-12-28,2020-12-29,OP swab,Not Adequate,2020-12-30,Antigen POC tests,Molecular Labs,Negative,2020-12-31,2020-12-31,2020-12-31,TO,Probable
MOH2295011120,4077,MW-SA,POE,Matthew,+265(0)993008258,2020-06-09,SARIs,Nelson,Jennifer,1970-02-28,ET,NID,ET560267,MW-BL,Urban,Female,farmer,P.O.Box 54078 MW-ZO,Hospital,+265(0)994073201,Rebecca,2020-06-08,Covid-19,AstraZeneca,2,2020-06-09,2020-06-07,International,2020-06-01,Suspected,School,2020-05-31,No,N/A,Other,Neurological Dz,Yes,Tyler Hall,2020-06-09,2020-06-09,NP swab,Adequate,2020-06-10,Antigen POC tests,Molecular Labs,Negative,2020-06-13,2020-06-13,2020-06-13,Dead,Probable
MOH6807024131,1825,MW-NB,OPD,Kristin,,2020-09-14,Unexplained cluster,Anderson,David,1976-08-12,EG,NID,EG766901,MW-CR,Rural,Male,minister,P.O.Box 78512 MW-DO,Market,,Robert,2020-09-09,None,N/A,0,2020-09-14,2020-09-04,International,2020-08-24,Confirmed,Hospital,2020-08-31,N/A,N/A,Diarrhea,Cardiovascular Dz,No,Paige Todd,2020-09-14,2020-09-15,Saliva,Not Adequate,2020-09-16,PCR,Mobile testing,Positive,2020-09-18,2020-09-18,2020-09-19,Lost,Compatible
MOH6737851221,1530,MW-CK,POE,Monique,+265(0)885798453,2020-12-16,AEFI,Reed,Tanner,1985-07-15,RW,NID,RW504238,MW-MH,Urban,Male,politician,P.O.Box 28019 MW-PH,School,+265(0)995853524,Deborah,2020-12-10,Covid-19,AstraZeneca,2,2020-12-16,2020-12-04,International,2020-11-29,Suspected,No,2020-11-24,N/A,N/A,Fatigue,Hypertension,Yes,Willie Peters,2020-12-16,2020-12-16,Saliva,Not Adequate,2020-12-17,Antigen POC tests,Mobile testing,Negative,2020-12-19,2020-12-19,2020-12-19,TO,Compatible
MOH3066009542,531,MW-CR,OPD,Felicia,,2020-10-29,AEFI,Bryant,Steven,1968-04-19,AU,NID,AU615420,MW-MG,Rural,Male,lawyer,P.O.Box 12839 MW-MC,Hospital,+265(0)881627015,Lori,2020-10-25,Covid-19,Johnson & Johnson,1,2020-10-29,2020-10-23,Indigenous,2020-10-23,No,Family,2020-10-23,N/A,N/A,Bleeding,Mental,No,Glenn Santiago,2020-10-29,2020-10-30,Blood,Not Adequate,2020-10-30,Antigen POC tests,Mobile testing,Positive,2020-11-02,2020-11-02,2020-11-04,Alive,Probable
MOH8110583048,601,MW-CR,OPD,Benjamin,+265(0)886772073,2020-04-27,SARIs,Collins,Cindy,1926-08-30,US,NID,US942146,MW-CK,Rural,Female,lawyer,P.O.Box 61276 MW-KR,Hospital,,Peggy,2020-04-26,None,N/A,0,2020-04-27,2020-04-08,International,2020-04-26,Suspected,Work place,2020-04-26,No,N/A,Fever,Stroke,Yes,Christina Fischer,2020-04-27,2020-04-27,Blood,Adequate,2020-04-30,Antigen POC tests,Mobile testing,Positive,2020-05-01,2020-05-01,2020-05-01,Lost,Confirmed
MOH2294698514,2517,MW-CR,IPD,Thomas,,2020-12-01,SARS/MERS/COVID,Green,Christopher,1992-05-29,ZW,Passport,ZW180241,MW-KR,Urban,Male,technician,P.O.Box 33124 MW-ZO,Market,+265(0)887548298,Christopher,2020-11-27,None,N/A,0,2020-12-01,2020-11-12,Indigenous,2020-11-25,No,Hospital,2020-11-07,N/A,N/A,Chest pain,COPD,Yes,Mason Turner,2020-12-01,2020-12-02,Saliva,Adequate,2020-12-03,PCR,Mobile testing,Negative,2020-12-03,2020-12-03,2020-12-05,Dead,Compatible
MOH6785613827,1111,MW-MZ,IPD,Cynthia,,2020-08-21,SARIs,Sanchez,Belinda,1971-09-19,IN,NID,IN198210,MW-NU,Rural,Female,nurse,P.O.Box 17581 MW-BL,Market,,Sarah,2020-08-20,Covid-19,AstraZeneca,2,2020-08-21,2020-08-02,Indigenous,2020-08-18,No,School,2020-08-01,Yes,Second,Bleeding,Cardiovascular Dz,Yes,Vincent Butler,2020-08-21,2020-08-21,OP swab,Adequate,2020-08-21,PCR,Mobile testing,Negative,2020-08-22,2020-08-22,2020-08-23,Dead,Confirmed
MOH4531881336,2723,MW-SA,IPD,Melanie,+265(0)999560393,2020-08-08,SARS/MERS/COVID,Smith,Andrew,1985-12-30,BI,NID,BI110988,MW-CT,Rural,Male,accountant,P.O.Box 95107 MW-LI,Market,,Alyssa,2020-08-08,Covid-19,Johnson & Johnson,1,2020-08-08,2020-07-27,Indigenous,2020-08-06,Suspected,Family,2020-08-04,N/A,N/A,Headache,TB,Yes,Amanda Oconnell,2020-08-08,2020-08-08,Saliva,Adequate,2020-08-08,Antigen POC tests,Mobile testing,Negative,2020-08-10,2020-08-10,2020-08-12,TO,Compatible
MOH3375611338,2531,MW-DE,OPD,Darrell,,2020-05-26,Unexplained cluster,Fuller,Kevin,1979-09-27,MW,Passport,MW499864,MW-TH,Rural,Male,doctor,P.O.Box 38820 MW-MH,Market,,John,2020-05-18,None,N/A,0,2020-05-26,2020-05-10,International,2020-05-16,Confirmed,Work place,2020-05-07,N/A,N/A,Muscle ache,Other,No,Kenneth Morris,2020-05-26,2020-05-27,Blood,Adequate,2020-05-30,Antigen POC tests,Mobile testing,Negative,2020-05-30,2020-05-30,2020-06-02,Alive,Probable
MOH2735688510,2710,MW-TH,OPD,Emily,+265(0)887515780,2020-07-20,SARIs,Ramirez,Tanya,1947-10-10,BE,NID,BE308328,MW-KR,Rural,Female,doctor,P.O.Box 33762 MW-LK,Market,+265(0)993835197,Paul,2020-07-12,None,N/A,0,2020-07-20,2020-06-28,International,2020-07-12,No,Family,2020-06-23,Yes,Second,Nausea,Cancer,Yes,Shannon Wilson,2020-07-20,2020-07-20,Saliva,Adequate,2020-07-20,Antigen POC tests,Molecular Labs,Negative,2020-07-20,2020-07-20,2020-07-21,TO,Lost
MOH9777533717,205,MW-MG,OPD,Natalie,+265(0)996201605,2020-11-27,SARS/MERS/COVID,Horton,Joseph,1940-11-12,RW,Passport,RW624403,MW-RU,Urban,Male,blank,P.O.Box 19211 MW-NB,Hospital,+265(0)888166420,Patricia,2020-11-20,Covid-19,AstraZeneca,2,2020-11-27,2020-11-04,International,2020-11-12,Suspected,Work place,2020-11-12,N/A,N/A,Abdominal pain,TB,Yes,Jeremy Allen,2020-11-27,2020-11-27,NP swab,Not Adequate,2020-11-28,Antigen POC tests,Mobile testing,Positive,2020-11-28,2020-11-28,2020-11-30,Lost,Confirmed
MOH2802215800,408,MW-NI,IPD,Allen,,2020-05-28,AEFI,Robinson,Robert,1938-02-17,AU,Passport,AU530392,MW-DE,Urban,Male,nurse,P.O.Box 38622 MW-MW,Hospital,+265(0)999601840,Kelli,2020-05-23,None,N/A,0,2020-05-28,2020-05-20,International,2020-05-04,Suspected,Work place,2020-05-08,N/A,N/A,Muscle ache,COPD,No,James Gross,2020-05-28,2020-05-28,NP swab,Adequate,2020-05-29,PCR,Mobile testing,Negative,2020-06-01,2020-06-01,2020-06-03,TO,Probable
MOH4297618918,1717,MW-MH,POE,April,+265(0)998159306,2020-10-23,SARIs,Potter,Brianna,2003-09-29,NG,Passport,NG401610,MW-MZ,Rural,Female,business,P.O.Box 06017 MW-TH,Market,+265(0)997770398,Paul,2020-10-17,None,N/A,0,2020-10-23,2020-10-06,International,2020-09-27,Suspected,Family,2020-10-03,No,N/A,Shortness of Breath,Hypertension,No,Joshua Kim,2020-10-23,2020-10-24,OP swab,Not Adequate,2020-10-24,PCR,Mobile testing,Positive,2020-10-24,2020-10-24,2020-10-24,Dead,Probable
MOH9650318130,441,MW-CK,IPD,Heather,+265(0)885970666,2020-08-08,SARIs,Oneal,Dawn,1963-04-25,IE,Passport,IE536292,MW-PH,Rural,Female,teacher,P.O.Box 55245 MW-BL,School,,Laura,2020-08-07,Covid-19,AstraZeneca,2,2020-08-08,2020-07-24,Indigenous,2020-07-19,Confirmed,Work place,2020-07-23,No,N/A,Diarrhea,Kidney Dz,No,Rebecca Miller,2020-08-08,2020-08-08,NP swab,Adequate,2020-08-09,PCR,Molecular Labs,Negative,2020-08-10,2020-08-10,2020-08-11,Lost,Confirmed
MOH6950335998,2520,MW-LK,OPD,Donald,+265(0)999479786,2021-01-03,Unexplained cluster,Poole,Randall,1939-12-02,BR,Passport,BR380112,MW-NE,Rural,Male,student,P.O.Box 66616 MW-KS,Hospital,+265(0)885389183,Denise,2020-12-31,Covid-19,Johnson & Johnson,1,2021-01-03,2020-12-20,International,2020-12-16,Suspected,School,2020-12-30,N/A,N/A,No(Asymptomatic),Neurological Dz,Yes,Dana Duke DDS,2021-01-03,2021-01-04,NP swab,Not Adequate,2021-01-07,Antigen POC tests,Molecular Labs,Negative,2021-01-07,2021-01-07,2021-01-10,Dead,Lost
MOH3231621366,2710,MW-KS,POE,Eric,+265(0)996322283,2020-07-07,SARS/MERS/COVID,Nelson,Amber,1990-07-24,EG,Passport,EG918626,MW-NS,Urban,Female,Engineer,P.O.Box 66799 MW-DE,School,+265(0)883007453,Jessica,2020-06-29,None,N/A,0,2020-07-07,2020-06-18,International,2020-06-28,No,School,2020-06-26,Yes,First,Fever,Neurological Dz,Yes,Adam Anderson,2020-07-07,2020-07-07,NP swab,Adequate,2020-07-08,Antigen POC tests,Mobile testing,Positive,2020-07-11,2020-07-11,2020-07-11,Alive,Confirmed
MOH5573837173,509,MW-ZO,OPD,Eddie,+265(0)889007611,2020-08-18,SARS/MERS/COVID,Sanford,Alexis,1996-03-29,NL,NID,NL531978,MW-KS,Urban,Female,nurse,P.O.Box 15291 MW-BA,Hospital,+265(0)994609425,Bridget,2020-08-12,Covid-19,Johnson & Johnson,1,2020-08-18,2020-08-01,International,2020-08-05,No,Hospital,2020-07-23,Yes,Second,Cough,DM,No,Cristina Jensen,2020-08-18,2020-08-19,NP swab,Adequate,2020-08-20,Antigen POC tests,Molecular Labs,Positive,2020-08-21,2020-08-21,2020-08-21,Alive,Compatible
MOH4417265134,417,MW-PH,POE,Susan,+265(0)998993797,2020-08-25,Unexplained cluster,Hawkins,Joshua,1977-05-26,ZA,Passport,ZA985889,MW-CT,Rural,Male,technician,P.O.Box 53859 MW-DO,School,,Jacqueline,2020-08-19,Covid-19,AstraZeneca,2,2020-08-25,2020-08-18,International,2020-08-15,Suspected,Work place,2020-08-02,N/A,N/A,Fatigue,Cancer,No,Ann Webb,2020-08-25,2020-08-25,Blood,Adequate,2020-08-26,Antigen POC tests,Molecular Labs,Positive,2020-08-29,2020-08-29,2020-08-29,Lost,Probable
MOH3275234448,2706,MW-NE,OPD,Christine,,2020-07-21,Unexplained cluster,Clark,Theresa,1945-03-08,BE,NID,BE770953,MW-DE,Urban,Female,politician,P.O.Box 85638 MW-BL,Market,,Anthony,2020-07-16,None,N/A,0,2020-07-21,2020-06-29,International,2020-06-29,Confirmed,Work place,2020-07-12,No,N/A,Muscle ache,DM,No,Sarah Smith,2020-07-21,2020-07-21,Saliva,Adequate,2020-07-23,Antigen POC tests,Molecular Labs,Positive,2020-07-24,2020-07-24,2020-07-25,Lost,Lost
MOH8206414404,3801,MW-DE,IPD,Matthew,+265(0)885165394,2020-05-06,SARIs,Shepard,Hunter,1930-10-30,NL,NID,NL714526,MW-NU,Rural,Male,banker,P.O.Box 77269 MW-MH,Market,+265(0)993190518,Morgan,2020-05-03,None,N/A,0,2020-05-06,2020-04-26,International,2020-04-21,Suspected,No,2020-04-18,N/A,N/A,Nausea,TB,Yes,Debra Gross,2020-05-06,2020-05-06,OP swab,Not Adequate,2020-05-06,Antigen POC tests,Mobile testing,Negative,2020-05-07,2020-05-07,2020-05-10,Dead,Probable
MOH1786816560,404,MW-RU,IPD,Suzanne,+265(0)997754108,2020-10-11,AEFI,Serrano,Katherine,1932-10-31,BR,Passport,BR246868,MW-CK,Rural,Female,technician,P.O.Box 87541 MW-MC,School,+265(0)991016424,Julie,2020-10-01,None,N/A,0,2020-10-11,2020-09-14,International,2020-09-26,Suspected,Work place,2020-09-28,No,N/A,No(Asymptomatic),Kidney Dz,No,Emily Hill,2020-10-11,2020-10-11,OP swab,Adequate,2020-10-12,Antigen POC tests,Molecular Labs,Positive,2020-10-15,2020-10-15,2020-10-15,Alive,Compatible
MOH3796412917,3217,MW-TH,POE,Frank,,2020-04-24,AEFI,Wilkerson,John,1955-10-22,CA,NID,CA812932,MW-MZ,Urban,Male,journalist,P.O.Box 65309 MW-LI,Market,+265(0)888948587,Matthew,2020-04-23,None,N/A,0,2020-04-24,2020-04-09,International,2020-04-21,Suspected,No,2020-04-23,N/A,N/A,Other,Asthma,No,Jeffrey Williams,2020-04-24,2020-04-25,Blood,Adequate,2020-04-27,PCR,Molecular Labs,Positive,2020-04-28,2020-04-28,2020-04-30,Dead,Probable
MOH5252303138,2710,MW-NI,OPD,John,+265(0)995499004,2020-04-14,AEFI,Smith,Laura,1933-02-06,US,Passport,US612377,MW-ZO,Rural,Female,student,P.O.Box 27914 MW-RU,Church,,Ashlee,2020-04-08,None,N/A,0,2020-04-14,2020-04-01,International,2020-03-23,No,Family,2020-03-29,Yes,Third,No(Asymptomatic),Hypertension,Yes,Richard Horne,2020-04-14,2020-04-14,NP swab,Not Adequate,2020-04-17,PCR,Mobile testing,Positive,2020-04-18,2020-04-18,2020-04-18,Dead,Confirmed
MOH9341489174,1608,MW-MG,IPD,Isaac,,2020-07-26,SARS/MERS/COVID,Mullins,Julie,1985-08-06,NG,Passport,NG276377,MW-LK,Urban,Female,lecturer,P.O.Box 95901 MW-RU,Hospital,+265(0)881868970,Christina,2020-07-21,Covid-19,Johnson & Johnson,1,2020-07-26,2020-07-04,International,2020-07-02,No,Hospital,2020-07-19,No,N/A,No(Asymptomatic),Other,Yes,Mrs. Regina Jones,2020-07-26,2020-07-27,OP swab,Not Adequate,2020-07-30,Antigen POC tests,Molecular Labs,Positive,2020-08-02,2020-08-02,2020-08-03,Alive,Probable
MOH8481409434,206,MW-TH,OPD,Robert,+265(0)996310286,2020-09-28,SARS/MERS/COVID,Joseph,Charles,1978-10-05,US,NID,US481020,MW-RU,Urban,Male,journalist,P.O.Box 30585 MW-BA,Market,,Mary,2020-09-26,None,N/A,0,2020-09-28,2020-09-22,International,2020-09-21,No,School,2020-09-23,N/A,N/A,Fever,Kidney Dz,Yes,Matthew Gordon,2020-09-28,2020-09-29,NP swab,Adequate,2020-09-30,PCR,Molecular Labs,Negative,2020-10-01,2020-10-01,2020-10-03,Dead,Compatible
MOH4174028166,3424,MW-ZO,POE,Jennifer,+265(0)882967617,2020-09-13,AEFI,Hamilton,Bruce,1939-06-02,IT,Passport,IT649707,MW-MC,Rural,Male,nurse,P.O.Box 85882 MW-NB,Hospital,+265(0)882179551,Thomas,2020-09-12,Covid-19,AstraZeneca,2,2020-09-13,2020-09-12,Indigenous,2020-08-25,No,No,2020-08-29,N/A,N/A,Headache,DM,Yes,Ashlee Ray,2020-09-13,2020-09-14,OP swab,Adequate,2020-09-15,PCR,Mobile testing,Positive,2020-09-17,2020-09-17,2020-09-18,Lost,Lost
MOH7058951021,531,MW-NE,OPD,Heather,+265(0)997707738,2020-08-21,AEFI,Castro,Jill,1958-10-21,IT,Passport,IT536385,MW-NE,Urban,Female,accountant,P.O.Box 12561 MW-PH,Church,+265(0)998183813,Peter,2020-08-12,None,N/A,0,2020-08-21,2020-08-10,Indigenous,2020-07-25,Confirmed,School,2020-08-01,No,N/A,Other,Other,Yes,Christopher Wilson,2020-08-21,2020-08-22,Blood,Adequate,2020-08-25,Antigen POC tests,Mobile testing,Negative,2020-08-27,2020-08-27,2020-08-30,Lost,Probable
MOH8670065869,1707,MW-KS,POE,David,+265(0)994279095,2020-06-08,Unexplained cluster,Bush,Rachael,1999-08-01,PK,Passport,PK660596,MW-MZ,Urban,Female,farmer,P.O.Box 49152 MW-KS,Hospital,,Jonathan,2020-06-06,Covid-19,Johnson & Johnson,1,2020-06-08,2020-06-06,Indigenous,2020-06-01,No,Work place,2020-06-02,Yes,Third,Fatigue,Asthma,No,Jesus Cervantes,2020-06-08,2020-06-09,NP swab,Not Adequate,2020-06-12,PCR,Mobile testing,Positive,2020-06-13,2020-06-13,2020-06-15,Alive,Compatible
